"parameter","original","ci_lower","ci_upper","ci_median","inside_95","n_success"
"mu1",23.3845564450242,19.5934816540572,890.668889367043,24.3015244258945,TRUE,10
"mu2",13.2847903838858,-296.889312551305,170.088629203841,23.8101160957379,TRUE,10
"sigltil1",Inf,Inf,Inf,Inf,TRUE,10
"sigltil2",0.524193612944129,-8.3792739864616,3.44378420406826,1.39894534226901,TRUE,10
"sigrtil1",-0.263244957146162,-10.2281157047322,29.9624619577979,-0.479355150000643,TRUE,10
"sigrtil2",1.20630287833104,-8.93797692650505,3.25731996361799,0.32375780873838,TRUE,10
"ctil",-1.68005604155619,-50.2610424471945,-1.95365412707496,-2.63911119303053,FALSE,10
"pd",Inf,Inf,Inf,Inf,TRUE,10
"o_par1",-2.83062423532905,-7.75759094651207,4.40796067664939,-1.64763547480877,TRUE,10
