"parameter","original","ci_lower","ci_upper","ci_median","inside_95","n_success"
"mu1",-2.46080847321501,-569.202733103159,328.545030284368,-7.54699599812236,TRUE,10
"mu2",14.05185284818,-959.300756843104,16.4149865708341,5.96339525676299,TRUE,10
"sigltil1",1.54694454571316,-1.23605618907505,2.7055218867092,0.685187424745533,TRUE,10
"sigltil2",0.951693989480928,-12.0308420920801,2.6914063673557,-1.66929965442159,TRUE,10
"sigrtil1",-0.119540116288979,-303.734120629392,43.8193718631674,-0.821952983743259,TRUE,10
"sigrtil2",0.40045941659497,-499.057640134816,671.555176930517,0.687447455072371,TRUE,10
"ctil",-9.59140805482967,-2713.62935468994,-30.5626426127343,-65.4882092485028,FALSE,10
"pd",1.92934568857811,1.97575538198039,2.38441954145128,2.21216374323701,FALSE,10
"o_par1",-3.3972117819904,-6.63666059091956,7.99033335844921,-0.221807530637351,TRUE,10
