"iteration","status","n_pres","n_abs","loglik","pBIC","mu1","mu2","sigltil1","sigltil2","sigrtil1","sigrtil2","ctil","pd","o_par1"
1,"success",267,534,-116.217547366877,292.607843257369,379.092993366563,-604.143789631933,0.523694804489262,2.73968089575383,-1.16251567394961,-214.303794504482,-1130.59148673593,2.02510549568322,3.69726081265467
2,"success",261,522,-115.688840116273,291.345874496462,-6.20358539641703,6.14494922447949,-0.0622693307044368,-3.43183472486603,1.56749579075834,0.919538790882832,-28.2160926121735,2.17619821077063,-0.410901902647468
3,"success",264,528,-121.757522366534,303.586097259397,-73.4839230952221,18.6742636101358,0.846680045001803,-14.3650889518281,-8.3195780603033,2.33200922766144,-61.7222666950651,1.99235263294479,4.49755650666583
4,"success",260,520,-100.739146465829,261.41193820881,154.435379667918,-452.37744030799,2.42179187221478,-0.859252769324591,-28.1091286974169,0.480527055550084,-983.695192444786,2.28770147008284,-7.53076485885414
5,"success",258,516,-100.477336125919,260.818819114145,-3.30826968151817,5.78184128904649,-0.153783825623614,-2.90162423912101,0.834644345226193,0.687696560438381,-41.0929459294657,2.26104663426185,-0.22838497678855
6,"success",280,560,-123.103057159838,306.806731346212,-9.69922866598127,7.88469202038037,1.54077936670909,0.460241801617642,-1.56288149376818,-3.78196990920149,-69.2541518019405,1.9709368252488,-3.55696811247821
7,"success",261,522,-101.44447257893,262.857139421777,-630.990390199049,-1012.08899919416,2.78789511672371,-0.615557378328711,-383.754279577385,865.845774005539,-2786.88172615262,2.2481292757034,4.16496765088147
8,"success",249,498,-104.189914950981,267.924416568157,-8.35353847316454,8.63303232435064,-0.221571597747621,-3.99065846405926,56.0860455616087,0.687198349706362,-45.1486260237256,2.09622246753399,-0.691459449834437
9,"success",272,544,-95.2203510321155,250.780431258908,-356.378580883984,-777.474588745028,1.13939174453761,2.52512743620659,-0.48139029353691,-581.728111446849,-2461.31563076293,2.37152561901341,9.00436534767664
10,"success",265,530,-99.5352835506136,259.175646133116,-6.74045352308018,7.02963473738087,-1.53058397365398,-2.47934653951858,1.16479868172339,0.695056487037264,-38.6452037257774,2.38816293828808,-0.215230084486152
