"parameter","original","ci_lower","ci_upper","ci_median","inside_95","n_success"
"mu1",-2.64008834880813,-12.832748248283,422.574245561709,-6.13308153111343,TRUE,100
"mu2",13.4920301052081,-775.055626986281,11.2497762750914,6.89916902673408,FALSE,100
"sigltil1",0.989122619096465,-3.39171463024915,15.2198296653329,0.529034819962144,TRUE,100
"sigltil2",-0.096016696330953,-3.62042600091199,17.2497430662249,-1.20897663917161,TRUE,100
"sigrtil1",0.343677540093128,-307.906613950013,297.895790609133,0.769328230869373,TRUE,100
"sigrtil2",1.60033998382184,-27.5994034142011,72.4920141567954,0.615348003890638,TRUE,100
"ctil",-9.29727008923619,-1179.32451155182,-28.7295443485414,-41.3979204272962,FALSE,100
"pd",1.90464808740379,2.03377383517934,2.49658871681687,2.28848712000175,FALSE,100
"o_par1",10.7675971003243,-8.41104059904566,7.5012708680173,-0.225370810107491,FALSE,100
