"iteration","status","n_pres","n_abs","loglik","pBIC","mu1","mu2","mu3","sigltil1","sigltil2","sigltil3","sigrtil1","sigrtil2","sigrtil3","ctil","pd","o_par1","o_par2","o_par3"
11,"success",581,581,-339.566690302893,763.828155854728,16.8056839085709,-6.68509979674948,12.8515243242691,Inf,-0.723892795893801,-0.726608630226833,-0.391622456266986,2.63669133592422,2.20774538240436,-2.59482551551136,Inf,-0.480882425450656,-1.87010090108023,0.0940530089023744
12,"success",578,578,-350.358032155152,785.348716901092,33.3579169869748,-9.89166504793635,16.1671488724244,Inf,-1.30198991923053,-0.0425075174192714,-7.74054540740933,2.4726310112901,1.74557946661615,-3.82577983319429,Inf,0.975866347518771,2.53994059232698,-6.18049941326957
13,"success",584,584,-339.304024332316,763.364626625289,23.1593419584448,-5.49336120232689,22.1783062494352,Inf,0.882915966670611,79.4233321662909,2.0529790180657,1.2919919208128,-0.977336095621373,-4.8269252294172,Inf,6.36329148639205,3.9176642293203,-4.43760384522595
14,"success",566,566,-318.109996450214,720.600888005586,20.1451649831144,-8.45619829804879,20.5370998344057,Inf,2.4047715482888,1.16277578818997,-0.905957780777606,-2.15309767007308,1.21737965198505,-4.50600732000055,Inf,-9.64097389615913,1.35748932546506,-0.594018331716988
15,"success",599,599,-375.169106275865,835.399117895835,20.0960861899943,-5.1205932567658,10.1341785913847,Inf,0.108141717721306,2.27110997527844,-0.616255195042644,1.46188982149335,-0.262377356283078,-2.95780766936791,Inf,-6.49260572570164,-3.91645375256039,4.13162637665792
16,"success",576,576,-353.176216508397,790.943491111865,18.1283665232903,-5.32725570887166,10.5566800821942,Inf,-0.589186677164986,-0.0660586547001022,-0.748091140516817,2.49136818882163,1.19439296479946,-3.13670885114495,Inf,-0.495234849587063,-1.89070184389649,0.151038755585321
17,"success",587,587,-344.396327941761,773.610719888178,25.7099016446814,-11.2317035421466,22.6106038102177,Inf,1.19630674083334,2.11168704184017,-1.9032865849779,1.04466793376792,-6.64506752953603,-4.62279738103607,Inf,-7.5415366654926,-4.23487190532437,-1.96221615957046
18,"success",559,559,-314.107449138178,712.446458120936,15.0210798880483,2.01220575390464,11.2719755021539,Inf,-0.501162916410984,1.53957917530308,1.18704409320553,1.51043386441175,-0.598974390022537,-7.77527915112428,Inf,-4.68931030709147,3.4763482998783,5.26592527221913
19,"success",584,584,-325.861742102102,736.480062164862,24.6833559833399,-4.06624579547142,20.4024980462271,Inf,1.05317420350651,1.43581518905747,-0.273190356553493,-2.16915708690776,0.9781564301245,-4.72715694593212,Inf,10.2280427684672,-1.42796000553533,1.0193069908613
20,"success",567,567,-330.566727321792,745.535532455037,17.6489816568312,-7.45711185057468,14.4686702229264,Inf,2.09663561258018,2.2729482208364,-0.246196036759413,-0.17129696520609,-1.28355794310375,-3.83937060211746,Inf,-7.69286874077289,-6.21359291430057,-0.516855865442845
