"iteration","status","n_pres","n_abs","loglik","pBIC","mu1","mu2","sigltil1","sigltil2","sigrtil1","sigrtil2","ctil","pd","o_par1"
1,"success",626,1252,-244.410232066103,556.662128070119,462.046972811083,-587.415455804165,2.8785324927934,-1.16926811040386,84.2598643174734,0.547095361041598,-942.154186985501,2.16670856635501,-0.909754104782536
2,"success",636,1272,-238.548395012371,545.081087692816,-6.54582192463571,6.30826140528414,446.640676692359,-2.91692871132453,1.16468794863299,0.690903757558299,-40.5568019289121,2.33471487562876,-0.213782414556743
3,"success",629,1258,-261.592920647007,591.070533202331,-6.55026571777962,6.65704986719206,1.21771141110626,0.762865360868142,-1.25377106489029,-2.64140023970939,-34.6391032939989,2.29060693409987,9.18598454343844
4,"success",613,1226,-225.426937142212,518.506669305862,14.1557831633745,-51.0558708576797,0.889892101241089,1.61954800542457,-7.31057327137007,-40.533450218609,-118.17258826959,2.43530126803412,-2.79577956692984
5,"success",641,1282,-271.781691541092,611.618158792483,-7.60766210915347,11.5769833898292,-0.642150300509152,-1.42535908838561,37.0821319426308,0.598297820908161,-34.436881259598,2.08463877289303,5.75785377967476
6,"success",647,1294,-222.7937360743,513.726099397122,-5.61546347142182,6.15078994680608,1.00692676375923,0.505099946931493,-0.93789595962226,-3.22432285344863,-59.9391211260821,2.44163653485698,2.87476469672328
7,"success",632,1264,-225.634869795729,519.197254736793,-3.40644401481329,6.36614516395463,-0.0104065851602621,-2.3577871666152,1.00326765716587,0.742987509066483,-33.8678780723344,2.47645666714666,-6.48856503003279
8,"success",645,1290,-235.962696463466,540.036156376106,-5.98674301947495,7.23843723887617,0.643281196117813,-1.45533124427883,-2.12570950706033,1.06475367987459,-40.253965564611,2.4010637625956,4.53186832054972
9,"success",642,1284,-263.990240790526,596.049286912276,-6.37890616742971,7.16306859195565,-2.15264233781624,1.22548784678066,0.77625550934676,-1.34720329436733,-31.2491038397837,2.25436718179325,-4.89981154268595
10,"success",639,1278,-272.972945940749,613.972542568908,-7.28413498630271,6.62251086216692,0.70339632986949,26.1585164002658,-3.11250198221685,1.35565802585082,-39.8754314964005,2.08760151224131,-8.14294204375467
11,"success",658,1316,-262.915629276195,594.121613532331,-8.67791213445756,8.25996155223604,-3.3611857691496,10.6145383299154,0.7402790662035,-0.540443118093188,-37.8089696847799,2.18125192114682,7.33757683413921
12,"success",632,1264,-232.787807052813,533.503129250962,-6.79272458593207,9.60276230828873,0.634366853704464,-0.204900479328454,-2.42805551988001,10.9336771813474,-41.3297676090489,2.28799964067896,-2.20006181439259
13,"success",623,1246,-259.390653005528,586.579735278157,373.325775691676,-834.92303595168,0.499487855323974,2.91257466667396,-0.475613574735594,205.332964457071,-1294.40277768684,2.22085566210919,3.55697002551596
14,"success",651,1302,-277.280804667917,622.755706713724,15.1270331047147,-54.1445351196799,1.50915026768264,-5.96959389001,-31.4322539697773,0.786952368906748,-159.22285779667,2.00620929563063,-7.51053175908843
15,"success",636,1272,-234.966791561227,537.917880790528,-3.3341807620467,5.7328533037091,0.710488234866989,-2.75133335959188,1.05583390864526,0.767810401746211,-33.3416848578976,2.40875207292077,-0.227912195297266
16,"success",628,1256,-263.662054090682,595.19448027759,-7.54995909794727,7.17024561054856,-1.35553344691928,-2.93940948479365,1.35615234824518,0.558041410224252,-51.6092509462657,2.04120271410873,-6.59080692476972
17,"success",632,1264,-227.355862682141,522.639240509616,-8.55972708871813,9.09948385800931,13.8826531077516,0.704014743418328,-0.347305459377526,-3.38022789168354,-41.6735660664226,2.34761316222456,2.50315420516031
18,"success",628,1256,-258.656813285808,585.183998667842,-5.10965780038025,11.1729775346003,-1.31238582895477,-0.755703585216135,1.16268905237452,0.532035358749279,-31.0990566628297,2.25543658078832,-0.203598581629759
19,"success",638,1276,-269.861796640787,607.73614842969,-6.56199512112085,6.73566899278464,0.0288989965772469,-3.92860530232327,15.1169843821611,0.707823377919521,-42.7097327102082,2.05510688338272,-0.545575337826734
20,"success",644,1288,-259.041629827863,586.180058788678,-4.93318055419715,8.71016252299226,0.586971946391729,-1.2285419651359,-1.40965432268509,1.01307689402824,-37.3936372917189,2.20751277426995,4.53912903344819
21,"success",640,1280,-273.905715623431,615.852155432058,-3.18434370700987,5.51380699140952,22.5647038553513,-2.89943788955544,1.03162284610781,0.750602003058598,-35.591029166655,2.08220526785941,-6.49017744573001
22,"success",625,1250,-246.788973040935,561.405221527511,-4.8512680928829,5.95393487549153,-2.68021304155761,1.2103333579713,0.867703404145201,-0.0745202534601257,-28.0545612997589,2.39000657611285,-4.91259433344668
23,"success",653,1306,-241.844411585799,551.910527933098,353.341960694691,-503.029229322957,2.80383245171971,-1.04989634648127,275.66017342272,0.566776456294148,-749.714672184208,2.28720635501719,-0.964778079174532
24,"success",636,1272,-227.95622190186,523.896741471794,-8.06751521246046,8.37786296642482,12.2643480368701,0.666391098652838,-0.344769894438798,-3.48316341426155,-44.8485708157883,2.37911893395013,2.54719795771172
25,"success",630,1260,-216.338297007065,500.575582986614,-6.77798387938368,7.64920236008245,-0.104458381523485,-3.329030013761,13.2069145057315,0.646381679070921,-46.4278135250543,2.41527066547956,-6.8737346016563
26,"success",607,1214,-249.753996522929,567.072262763407,-7.07046309919939,6.08804642837203,0.730838924049371,-1.52648310065415,-3.12276238514225,1.20164713461354,-39.3961452900889,2.24146964184169,4.49460232015601
27,"success",638,1276,-247.07529927487,562.163153697855,-6.34096906032508,6.87642191681225,-0.238509304534499,-3.5982987471625,9.72833686337613,0.462029716941567,-67.1188889217209,2.16225873657698,-6.78026935700229
28,"success",621,1242,-225.060860172889,517.891210681192,-4.99585184926149,9.2378464975984,-1.36928291253965,-1.29625849476593,1.01240391555009,0.483332748744789,-41.2260591519585,2.40079571789434,-0.155787163111251
29,"success",639,1278,-257.975019160318,583.976689008047,218.875118671765,-399.823711557779,2.5270524295361,-1.3338276668067,318.01372996827,0.556650007597885,-733.405364621958,2.11940275042975,-1.07506681436813
30,"success",631,1262,-257.438956796404,582.791176953691,199.489069159252,-410.425211766756,2.63249565025957,-0.386601595268901,64.7361885861269,0.553400020578192,-590.422803555518,2.3509258437502,-1.12921704888367
31,"success",646,1292,-249.538356178388,567.201418488832,-5.32356218598076,7.15984442395513,0.558581784600314,-1.34450845314377,-2.18783828258092,1.0431649168246,-46.3728501672314,2.19724655624578,4.54205057321263
32,"success",650,1300,-226.875672010045,521.93160588411,-6.43047130690377,7.33234770089561,0.0826795804619452,-3.49764468438637,75.2641736752136,0.749436544217139,-39.1595272570836,2.38274520569151,5.64782022695214
33,"success",641,1282,-244.395912102774,556.846599915847,-7.36365310268193,7.99513667143558,-0.678027786476395,-3.07791387114786,1.8052452744692,0.562658664664316,-49.6721633237581,2.19937755456952,-6.72355185318004
34,"success",642,1284,-264.295118235688,596.659041802599,-6.1289932150417,8.34758081632125,-1.35222311213608,-1.5495866448912,1.2403245487578,0.753124817911611,-28.3053744184072,2.27061599484055,-0.179621171461222
35,"success",641,1282,-265.983026157299,600.020828024897,-6.37675129373378,6.7507162133045,0.703997588971676,-1.54831504564288,-2.3424161672042,1.15155679784446,-37.5414577743614,2.22972351115964,4.52996210181018
36,"success",674,1348,-273.83688101725,616.180343630725,388.182522261185,-736.07804559833,3.05273986840969,-3.21742879125199,-118.978501069946,0.941220244944017,-819.86013988674,2.34708508391386,-1.08383462811939
37,"success",630,1260,-224.869495860271,517.637980693024,-3.83240216417977,5.77132589782652,0.0824986693441777,-2.85846902103663,1.11208943123347,0.757237447360723,-35.06965690186,2.39037673938137,-0.270524236677376
38,"success",616,1232,-259.641728852118,586.98019097405,19.5816819737881,-17.5810098007421,1.20556255633744,-0.232578327436472,-15.9987792584619,0.146233938003687,-96.0656026056238,2.10177304394926,-1.03872542657984
39,"success",643,1286,-217.544944195641,503.172701507435,171.896833270007,-239.774552229899,2.50528743308321,-3.08901007475258,-55.268350256444,0.761427771560027,-345.77789531719,2.49484310229178,-0.949373760836871
40,"success",650,1300,-250.367495900348,568.915253664716,246.573707221787,-608.730443631837,0.573203272731123,2.72196615307358,-0.684742210898237,874.019392238936,-995.499305809623,2.32300491008129,3.52127036766487
41,"success",644,1288,-231.202391124235,530.501581381422,-417.739057613189,-688.229720502818,2.63873161480834,-0.278181178347919,-385.185798648806,107.03387109836,-1739.21406667163,2.31311268461084,-8.38681783557258
42,"success",635,1270,-263.272630612023,594.515396812094,-2.97644461816735,5.05381646784507,7.4009524704288,-3.33674600608214,0.856256045382473,0.626181169806763,-47.228320866038,2.07821098046185,-0.222829424917717
43,"success",649,1298,-260.197378224057,588.561161496464,-6.81552177243575,7.79222151252345,0.0693967985691392,-3.01636068013754,33.3818318092237,0.803399353906283,-32.8843954498108,2.25557402921984,-0.571550686380521
44,"success",644,1288,-238.104338538026,544.305476209003,-7.46911525911033,10.0923517218748,-0.576639788884452,-2.23178247825581,13.5187356939281,0.545995450600828,-45.1822625625019,2.21301268343887,-0.547730336769475
45,"success",637,1274,-231.556643990295,531.111725478753,323.205832329264,-564.195582217758,2.75989474657723,-3.58447558896886,-163.278498949489,0.777977574136131,-913.625178829485,2.32031805380192,-1.0486130305725
