"iteration","status","loglik","pBIC","mu1","mu2","sigltil1","sigltil2","sigrtil1","sigrtil2","ctil","pd","o_par1"
1,"success",-320.449243133677,702.904808042545,-2.67296515623332,15.1257864115306,1.39005567062496,0.749891091472671,-0.366710956356908,0.377541408440432,-13.290088278851,1.47377780477857,9.14133791019766
2,"success",-343.831793367053,749.669908509297,-2.94624431820691,13.8478775663054,1.05536414400466,-0.164569854312547,0.430261960137112,1.65309266029215,-8.08702816284437,2.10370560217536,-8.10205346575003
3,"success",-353.197236878442,768.400795532074,-2.44452231418824,14.0592573516013,1.03236255144355,-0.00857002777918679,0.505186578337739,1.65952975332444,-7.76359893756644,2.34618607004318,-1.81478561574994
4,"success",-344.354802881761,750.715927538713,-2.66491392808905,13.8426033342302,1.56760797818088,0.953567890119069,-0.20286727468605,0.406872475122686,-9.56037279979558,1.71005232680227,-9.64552862277467
5,"success",-305.397893604289,672.802108983769,-2.27355555990802,14.0647887847739,0.860604141546226,-0.160286701438732,0.348533767151286,1.4351182358448,-11.1779243817545,1.98615131371113,-8.08763900994927
6,"success",-346.716114550468,755.438550876127,-2.45748563559009,13.4049801288875,-0.177729692960771,0.219221738961046,1.44870847075511,0.907218663344075,-12.0003626111552,1.45493789512335,-6.53256791506156
7,"success",-314.419617298199,690.845556371588,-1.94413304459546,13.308228093623,0.282442945505942,1.46475480130607,0.937778871876928,-0.0224008859184017,-10.5957492663525,1.89258473304845,7.62275478134334
8,"success",-335.745658732524,733.497639240238,-1.96687516680557,12.1259034520379,0.0792762903236713,0.0778384155266236,1.43980144733131,1.0459318268022,-10.3414667712926,1.6554635435787,-6.52973985737923
9,"success",-338.063659587084,738.133640949358,-3.17517229914965,13.6298459934743,-0.340083131878083,0.296095766711331,1.5731254844924,0.919502781726482,-10.9760290560412,1.55096268496625,-6.50052359836106
10,"success",-306.565073444116,675.136468663423,-3.32374793642051,12.6072754291554,-0.301235870092648,0.240724014791601,1.64467053146231,1.09684973243777,-8.64353680902437,2.30953487128377,-0.194995219672164
