"parameter","original","ci_lower","ci_upper","ci_median","inside_95","n_success"
"mu1",-2.46080847321501,-3.29031841803457,-1.94925002209273,-2.56119978183957,TRUE,10
"mu2",14.05185284818,12.2342121468893,14.8870619455104,13.7362246638522,TRUE,10
"sigltil1",1.54694454571316,-0.33134249797636,1.5276587089808,0.571523543526084,FALSE,10
"sigltil2",0.951693989480928,-0.163606144915938,1.34973774628899,0.229972876876324,TRUE,10
"sigrtil1",-0.119540116288979,-0.329846127980965,1.62857289589408,0.721482725107333,TRUE,10
"sigrtil2",0.40045941659497,0.067586130312336,1.65808140739217,0.982717304264342,TRUE,10
"ctil",-9.59140805482967,-12.9999000036195,-7.83637051325397,-10.4686080188226,TRUE,10
"pd",1.92934568857811,1.45917687479578,2.33793955032231,1.80131852992536,TRUE,10
"o_par1",-3.3972117819904,-9.29824671244412,8.79965670620544,-6.51513172787015,TRUE,10
