"parameter","original","ci_lower","ci_upper","ci_median","inside_95","n_success"
"mu1",23.3845564450242,22.5769403781213,24.0266477370013,23.2527713976504,TRUE,10
"mu2",13.2847903838858,11.1957140828298,14.6847405644426,13.2960467193062,TRUE,10
"sigltil1",Inf,Inf,Inf,Inf,TRUE,10
"sigltil2",0.524193612944129,0.152762670875391,0.917923540715966,0.450002241088269,TRUE,10
"sigrtil1",-0.263244957146162,-0.618730747889265,-0.0827905974580156,-0.348439330462063,TRUE,10
"sigrtil2",1.20630287833104,0.817065040573949,1.47042723853018,1.20898899858416,TRUE,10
"ctil",-1.68005604155619,-2.09010136785471,-1.3081623905591,-1.73074424876126,TRUE,10
"pd",Inf,Inf,Inf,Inf,TRUE,10
"o_par1",-2.83062423532905,-9.15798770401291,9.75132810927638,-2.80295342045262,TRUE,10
